"TIME","GEO","density","gdp","employment"
2010,"DE261",NA,4186.03,60.24
2010,"DE262",NA,4202.27,63.14
2010,"DE263",NA,6199.51,113.49
2010,"DE264",NA,4633.11,69.72
2010,"DE265",NA,2505.08,53.8
2010,"DE266",NA,2236.22,40.3
2010,"DE267",NA,1995.22,38.92
2010,"DE268",NA,2436.85,44.24
2010,"DE269",NA,3382.59,55.84
2010,"DE26A",NA,3805.51,59.96
2010,"DE26B",NA,2262.23,34.92
2010,"DE26C",NA,3528.68,57.02
2010,"DE27",NA,55243,926.79
2010,"DE271",NA,11093.46,177.62
2010,"DE272",NA,1274.26,25.32
2010,"DE273",NA,2961.76,49.83
2010,"DE274",NA,1956.99,35.49
2010,"DE275",NA,2956.24,52.59
2010,"DE276",NA,5552.2,90.95
2010,"DE277",NA,2401.62,42.93
2010,"DE278",NA,4510.83,62.95
2010,"DE279",NA,4717.49,78.25
2010,"DE27A",NA,2136.07,38.69
2010,"DE27B",NA,3660.68,61.96
2010,"DE27C",NA,3585.31,64.2
2010,"DE27D",NA,4776.25,78.27
2010,"DE27E",NA,3659.84,67.76
2010,"DE3",NA,103051.7,1691.81
2010,"DE30",NA,103051.7,1691.81
2010,"DE300",NA,103051.7,1691.81
2010,"DE4",NA,55769.62,1082.05
2010,"DE40",NA,55769.62,1082.05
2010,"DE401",NA,1862.95,38.9
2010,"DE402",NA,2854.18,65.06
2010,"DE403",NA,2093.5,42.19
2010,"DE404",NA,5547.3,108.38
2010,"DE405",NA,2920.45,64.71
2010,"DE406",NA,4803.94,69.72
2010,"DE407",NA,2030.8,45.79
2010,"DE408",NA,2356.47,58.37
2010,"DE409",NA,3277.47,68.46
2010,"DE40A",NA,4123.23,72.17
2010,"DE40B",NA,2367.26,49.04
2010,"DE40C",NA,3437.94,71.76
2010,"DE40D",NA,2047.83,46.75
2010,"DE40E",NA,3656.12,76.97
2010,"DE40F",NA,1605.04,35.98
2010,"DE40G",NA,3968.48,47.23
2010,"DE40H",NA,3850.26,67.74
2010,"DE40I",NA,2966.4,52.85
2010,"DE5",NA,26358.48,403.47
2010,"DE50",NA,26358.48,403.47
2010,"DE501",NA,22983.08,339.86
2010,"DE502",NA,3375.4,63.6
2010,"DE6",NA,93642.59,1140.39
2010,"DE60",NA,93642.59,1140.39
2010,"DE600",NA,93642.59,1140.39
2010,"DE7",NA,226703.41,3178.77
2010,"DE71",NA,162967.9,2078.19
2010,"DE711",NA,8940.54,124.58
2010,"DE712",NA,57775.16,632.88
2010,"DE713",NA,4284.91,66.23
