"TIME","GEO","UNIT","Value","Flag and Footnotes"
"2015","DE21B","PER_KM2","214.7",""
"2015","DE21C","PER_KM2","487.1",""
"2015","DE21D","PER_KM2","85.6",""
"2015","DE21E","PER_KM2","145.4",""
"2015","DE21F","PER_KM2","112.6",""
"2015","DE21G","PER_KM2","138.1",""
"2015","DE21H","PER_KM2","506.6",""
"2015","DE21I","PER_KM2","127.1",""
"2015","DE21J","PER_KM2","161.4",""
"2015","DE21K","PER_KM2","176.5",""
"2015","DE21L","PER_KM2","272.0",""
"2015","DE21M","PER_KM2","112.8",""
"2015","DE21N","PER_KM2","136.7",""
"2015","DE22","PER_KM2","116.7",""
"2015","DE221","PER_KM2","1,035.8",""
"2015","DE222","PER_KM2","718.0",""
"2015","DE223","PER_KM2","682.6",""
"2015","DE224","PER_KM2","134.9",""
"2015","DE225","PER_KM2","79.3",""
"2015","DE226","PER_KM2","110.5",""
"2015","DE227","PER_KM2","113.6",""
"2015","DE228","PER_KM2","122.4",""
"2015","DE229","PER_KM2","78.5",""
"2015","DE22A","PER_KM2","92.7",""
"2015","DE22B","PER_KM2","81.9",""
"2015","DE22C","PER_KM2","106.8",""
"2015","DE23","PER_KM2","112.2",""
"2015","DE231","PER_KM2","834.0",""
"2015","DE232","PER_KM2","1,776.3",""
"2015","DE233","PER_KM2","590.6",""
"2015","DE234","PER_KM2","82.3",""
"2015","DE235","PER_KM2","83.0",""
"2015","DE236","PER_KM2","96.5",""
"2015","DE237","PER_KM2","66.6",""
"2015","DE238","PER_KM2","135.3",""
"2015","DE239","PER_KM2","98.5",""
"2015","DE23A","PER_KM2","67.6",""
"2015","DE24","PER_KM2","146.2",""
"2015","DE241","PER_KM2","1,320.8",""
"2015","DE242","PER_KM2","1,072.8",""
"2015","DE243","PER_KM2","857.5",""
"2015","DE244","PER_KM2","767.1",""
"2015","DE245","PER_KM2","124.3",""
"2015","DE246","PER_KM2","82.0",""
"2015","DE247","PER_KM2","146.9",""
"2015","DE248","PER_KM2","177.9",""
