"TIME","GEO","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"2010","DE241","THS","EMP","TOTAL","67.56",""
"2010","DE242","THS","EMP","TOTAL","64.88",""
"2010","DE243","THS","EMP","TOTAL","39.37",""
"2010","DE244","THS","EMP","TOTAL","34.4",""
"2010","DE245","THS","EMP","TOTAL","48.71",""
"2010","DE246","THS","EMP","TOTAL","33.96",""
"2010","DE247","THS","EMP","TOTAL","35.89",""
"2010","DE248","THS","EMP","TOTAL","38.21",""
"2010","DE249","THS","EMP","TOTAL","44.95",""
"2010","DE24A","THS","EMP","TOTAL","35.49",""
"2010","DE24B","THS","EMP","TOTAL","37.2",""
"2010","DE24C","THS","EMP","TOTAL","36.61",""
"2010","DE24D","THS","EMP","TOTAL","37.34",""
"2010","DE25","THS","EMP","TOTAL","939.13",""
"2010","DE251","THS","EMP","TOTAL","35.21",""
"2010","DE252","THS","EMP","TOTAL","97.91",""
"2010","DE253","THS","EMP","TOTAL","53.57",""
"2010","DE254","THS","EMP","TOTAL","359.99",""
"2010","DE255","THS","EMP","TOTAL","19.81",""
"2010","DE256","THS","EMP","TOTAL","77.52",""
"2010","DE257","THS","EMP","TOTAL","55.34",""
"2010","DE258","THS","EMP","TOTAL","33.13",""
"2010","DE259","THS","EMP","TOTAL","69.99",""
"2010","DE25A","THS","EMP","TOTAL","42.77",""
"2010","DE25B","THS","EMP","TOTAL","52",""
"2010","DE25C","THS","EMP","TOTAL","41.89",""
"2010","DE26","THS","EMP","TOTAL","691.59",""
"2010","DE261","THS","EMP","TOTAL","60.24",""
"2010","DE262","THS","EMP","TOTAL","63.14",""
"2010","DE263","THS","EMP","TOTAL","113.49",""
"2010","DE264","THS","EMP","TOTAL","69.72",""
"2010","DE265","THS","EMP","TOTAL","53.8",""
"2010","DE266","THS","EMP","TOTAL","40.3",""
"2010","DE267","THS","EMP","TOTAL","38.92",""
"2010","DE268","THS","EMP","TOTAL","44.24",""
"2010","DE269","THS","EMP","TOTAL","55.84",""
"2010","DE26A","THS","EMP","TOTAL","59.96",""
"2010","DE26B","THS","EMP","TOTAL","34.92",""
"2010","DE26C","THS","EMP","TOTAL","57.02",""
"2010","DE27","THS","EMP","TOTAL","926.79",""
"2010","DE271","THS","EMP","TOTAL","177.62",""
"2010","DE272","THS","EMP","TOTAL","25.32",""
"2010","DE273","THS","EMP","TOTAL","49.83",""
"2010","DE274","THS","EMP","TOTAL","35.49",""
"2010","DE275","THS","EMP","TOTAL","52.59",""
"2010","DE276","THS","EMP","TOTAL","90.95",""
"2010","DE277","THS","EMP","TOTAL","42.93",""
"2010","DE278","THS","EMP","TOTAL","62.95",""
"2010","DE279","THS","EMP","TOTAL","78.25",""
"2010","DE27A","THS","EMP","TOTAL","38.69",""
"2010","DE27B","THS","EMP","TOTAL","61.96",""
"2010","DE27C","THS","EMP","TOTAL","64.2",""
"2010","DE27D","THS","EMP","TOTAL","78.27",""
"2010","DE27E","THS","EMP","TOTAL","67.76",""
"2010","DE3","THS","EMP","TOTAL","1,691.81",""
"2010","DE30","THS","EMP","TOTAL","1,691.81",""
"2010","DE300","THS","EMP","TOTAL","1,691.81",""
"2010","DE4","THS","EMP","TOTAL","1,082.05",""
"2010","DE40","THS","EMP","TOTAL","1,082.05",""
"2010","DE401","THS","EMP","TOTAL","38.9",""
"2010","DE402","THS","EMP","TOTAL","65.06",""
"2010","DE403","THS","EMP","TOTAL","42.19",""
"2010","DE404","THS","EMP","TOTAL","108.38",""
"2010","DE405","THS","EMP","TOTAL","64.71",""
"2010","DE406","THS","EMP","TOTAL","69.72",""
"2010","DE407","THS","EMP","TOTAL","45.79",""
"2010","DE408","THS","EMP","TOTAL","58.37",""
"2010","DE409","THS","EMP","TOTAL","68.46",""
"2010","DE40A","THS","EMP","TOTAL","72.17",""
"2010","DE40B","THS","EMP","TOTAL","49.04",""
"2010","DE40C","THS","EMP","TOTAL","71.76",""
"2010","DE40D","THS","EMP","TOTAL","46.75",""
"2010","DE40E","THS","EMP","TOTAL","76.97",""
"2010","DE40F","THS","EMP","TOTAL","35.98",""
"2010","DE40G","THS","EMP","TOTAL","47.23",""
"2010","DE40H","THS","EMP","TOTAL","67.74",""
"2010","DE40I","THS","EMP","TOTAL","52.85",""
"2010","DE5","THS","EMP","TOTAL","403.47",""
"2010","DE50","THS","EMP","TOTAL","403.47",""
"2010","DE501","THS","EMP","TOTAL","339.86",""
"2010","DE502","THS","EMP","TOTAL","63.6",""
"2010","DE6","THS","EMP","TOTAL","1,140.39",""
"2010","DE60","THS","EMP","TOTAL","1,140.39",""
"2010","DE600","THS","EMP","TOTAL","1,140.39",""
"2010","DE7","THS","EMP","TOTAL","3,178.77",""
"2010","DE71","THS","EMP","TOTAL","2,078.19",""
"2010","DE711","THS","EMP","TOTAL","124.58",""
"2010","DE712","THS","EMP","TOTAL","632.88",""
"2010","DE713","THS","EMP","TOTAL","66.23",""
"2010","DE714","THS","EMP","TOTAL","175.11",""
"2010","DE715","THS","EMP","TOTAL","101.79",""
"2010","DE716","THS","EMP","TOTAL","100.35",""
"2010","DE717","THS","EMP","TOTAL","117.35",""
"2010","DE718","THS","EMP","TOTAL","113.11",""
"2010","DE719","THS","EMP","TOTAL","164.9",""
"2010","DE71A","THS","EMP","TOTAL","115.52",""
"2010","DE71B","THS","EMP","TOTAL","37.84",""
"2010","DE71C","THS","EMP","TOTAL","151.06",""
"2010","DE71D","THS","EMP","TOTAL","61.88",""
"2010","DE71E","THS","EMP","TOTAL","115.58",""
"2010","DE72","THS","EMP","TOTAL","487.47",""
"2010","DE721","THS","EMP","TOTAL","128.9",""
"2010","DE722","THS","EMP","TOTAL","122.28",""
"2010","DE723","THS","EMP","TOTAL","73.04",""
"2010","DE724","THS","EMP","TOTAL","119.25",""
"2010","DE725","THS","EMP","TOTAL","44.01",""
"2010","DE73","THS","EMP","TOTAL","613.11",""
"2010","DE731","THS","EMP","TOTAL","142.84",""
"2010","DE732","THS","EMP","TOTAL","117.01",""
"2010","DE733","THS","EMP","TOTAL","60.38",""
"2010","DE734","THS","EMP","TOTAL","93.64",""
"2010","DE735","THS","EMP","TOTAL","76.71",""
"2010","DE736","THS","EMP","TOTAL","80.18",""
"2010","DE737","THS","EMP","TOTAL","42.35",""
"2010","DE8","THS","EMP","TOTAL","748.28",""
"2010","DE80","THS","EMP","TOTAL","748.28",""
"2010","DE803","THS","EMP","TOTAL","106.34",""
"2010","DE804","THS","EMP","TOTAL","65.1",""
"2010","DE80J","THS","EMP","TOTAL","129.68",""
"2010","DE80K","THS","EMP","TOTAL","87.72",""
"2010","DE80L","THS","EMP","TOTAL","102.67",""
"2010","DE80M","THS","EMP","TOTAL","60.5",""
"2010","DE80N","THS","EMP","TOTAL","108.95",""
"2010","DE80O","THS","EMP","TOTAL","87.33",""
"2010","DE9","THS","EMP","TOTAL","3,740.8",""
"2010","DE91","THS","EMP","TOTAL","764.82",""
"2010","DE911","THS","EMP","TOTAL","149.92",""
"2010","DE912","THS","EMP","TOTAL","55.16",""
"2010","DE913","THS","EMP","TOTAL","109.85",""
"2010","DE914","THS","EMP","TOTAL","53.91",""
"2010","DE916","THS","EMP","TOTAL","61.72",""
"2010","DE917","THS","EMP","TOTAL","28.68",""
"2010","DE918","THS","EMP","TOTAL","59.56",""
"2010","DE91A","THS","EMP","TOTAL","43.44",""
"2010","DE91B","THS","EMP","TOTAL","36.06",""
"2010","DE91C","THS","EMP","TOTAL","166.52",""
"2010","DE92","THS","EMP","TOTAL","1,052.9",""
"2010","DE922","THS","EMP","TOTAL","91.26",""
"2010","DE923","THS","EMP","TOTAL","69.59",""
"2010","DE925","THS","EMP","TOTAL","121.91",""
"2010","DE926","THS","EMP","TOTAL","30.28",""
"2010","DE927","THS","EMP","TOTAL","51.9",""
"2010","DE928","THS","EMP","TOTAL","61.14",""
"2010","DE929","THS","EMP","TOTAL","626.84",""
"2010","DE93","THS","EMP","TOTAL","692",""
"2010","DE931","THS","EMP","TOTAL","76.46",""
"2010","DE932","THS","EMP","TOTAL","69.39",""
"2010","DE933","THS","EMP","TOTAL","84.36",""
"2010","DE934","THS","EMP","TOTAL","20.01",""
"2010","DE935","THS","EMP","TOTAL","77.12",""
"2010","DE936","THS","EMP","TOTAL","37.62",""
"2010","DE937","THS","EMP","TOTAL","78.16",""
"2010","DE938","THS","EMP","TOTAL","67.35",""
"2010","DE939","THS","EMP","TOTAL","83.36",""
"2010","DE93A","THS","EMP","TOTAL","39.2",""
"2010","DE93B","THS","EMP","TOTAL","58.99",""
"2010","DE94","THS","EMP","TOTAL","1,231.08",""
"2010","DE941","THS","EMP","TOTAL","30.89",""
"2010","DE942","THS","EMP","TOTAL","37.69",""
"2010","DE943","THS","EMP","TOTAL","108.65",""
"2010","DE944","THS","EMP","TOTAL","116.71",""
"2010","DE945","THS","EMP","TOTAL","44.77",""
"2010","DE946","THS","EMP","TOTAL","53.88",""
"2010","DE947","THS","EMP","TOTAL","75.92",""
"2010","DE948","THS","EMP","TOTAL","76.92",""
"2010","DE949","THS","EMP","TOTAL","165.54",""
"2010","DE94A","THS","EMP","TOTAL","40.1",""
"2010","DE94B","THS","EMP","TOTAL","63.91",""
"2010","DE94C","THS","EMP","TOTAL","67.51",""
"2010","DE94D","THS","EMP","TOTAL","49",""
"2010","DE94E","THS","EMP","TOTAL","154.48",""
"2010","DE94F","THS","EMP","TOTAL","83.65",""
"2010","DE94G","THS","EMP","TOTAL","37.63",""
"2010","DE94H","THS","EMP","TOTAL","23.83",""
"2010","DEA","THS","EMP","TOTAL","8,787.67",""
"2010","DEA1","THS","EMP","TOTAL","2,613.95",""
"2010","DEA11","THS","EMP","TOTAL","492.6",""
"2010","DEA12","THS","EMP","TOTAL","222.37",""
"2010","DEA13","THS","EMP","TOTAL","318.42",""
"2010","DEA14","THS","EMP","TOTAL","117.16",""
"2010","DEA15","THS","EMP","TOTAL","124.49",""
"2010","DEA16","THS","EMP","TOTAL","80.82",""
"2010","DEA17","THS","EMP","TOTAL","90.48",""
"2010","DEA18","THS","EMP","TOTAL","59.22",""
"2010","DEA19","THS","EMP","TOTAL","69.48",""
"2010","DEA1A","THS","EMP","TOTAL","162.84",""
"2010","DEA1B","THS","EMP","TOTAL","132.81",""
"2010","DEA1C","THS","EMP","TOTAL","240.61",""
"2010","DEA1D","THS","EMP","TOTAL","190.41",""
"2010","DEA1E","THS","EMP","TOTAL","123.92",""
"2010","DEA1F","THS","EMP","TOTAL","188.34",""
"2010","DEA2","THS","EMP","TOTAL","2,194.83",""
"2010","DEA22","THS","EMP","TOTAL","232.43",""
"2010","DEA23","THS","EMP","TOTAL","676.12",""
"2010","DEA24","THS","EMP","TOTAL","79.65",""
"2010","DEA26","THS","EMP","TOTAL","110.8",""
"2010","DEA27","THS","EMP","TOTAL","184.54",""
"2010","DEA28","THS","EMP","TOTAL","77.32",""
"2010","DEA29","THS","EMP","TOTAL","94.22",""
"2010","DEA2A","THS","EMP","TOTAL","131",""
"2010","DEA2B","THS","EMP","TOTAL","105.52",""
"2010","DEA2C","THS","EMP","TOTAL","223.75",""
"2010","DEA2D","THS","EMP","TOTAL","279.48",""
"2010","DEA3","THS","EMP","TOTAL","1,204.77",""
"2010","DEA31","THS","EMP","TOTAL","48.21",""
"2010","DEA32","THS","EMP","TOTAL","113.42",""
"2010","DEA33","THS","EMP","TOTAL","201.57",""
"2010","DEA34","THS","EMP","TOTAL","186.83",""
"2010","DEA35","THS","EMP","TOTAL","90.91",""
"2010","DEA36","THS","EMP","TOTAL","236.18",""
"2010","DEA37","THS","EMP","TOTAL","204.15",""
"2010","DEA38","THS","EMP","TOTAL","123.5",""
"2010","DEA4","THS","EMP","TOTAL","1,026.89",""
"2010","DEA41","THS","EMP","TOTAL","185.03",""
"2010","DEA42","THS","EMP","TOTAL","193.91",""
"2010","DEA43","THS","EMP","TOTAL","118.06",""
"2010","DEA44","THS","EMP","TOTAL","62.89",""
"2010","DEA45","THS","EMP","TOTAL","153.69",""
"2010","DEA46","THS","EMP","TOTAL","160.76",""
"2010","DEA47","THS","EMP","TOTAL","152.54",""
"2010","DEA5","THS","EMP","TOTAL","1,747.24",""
"2010","DEA51","THS","EMP","TOTAL","180.08",""
"2010","DEA52","THS","EMP","TOTAL","305.85",""
"2010","DEA53","THS","EMP","TOTAL","98.42",""
"2010","DEA54","THS","EMP","TOTAL","79.19",""
"2010","DEA55","THS","EMP","TOTAL","65.22",""
"2010","DEA56","THS","EMP","TOTAL","141.83",""
"2010","DEA57","THS","EMP","TOTAL","140.06",""
"2010","DEA58","THS","EMP","TOTAL","206.81",""
"2010","DEA59","THS","EMP","TOTAL","73.81",""
"2010","DEA5A","THS","EMP","TOTAL","149.72",""
"2010","DEA5B","THS","EMP","TOTAL","144.16",""
"2010","DEA5C","THS","EMP","TOTAL","162.09",""
"2010","DEB","THS","EMP","TOTAL","1,905.05",""
"2010","DEB1","THS","EMP","TOTAL","709.63",""
"2010","DEB11","THS","EMP","TOTAL","99.62",""
"2010","DEB12","THS","EMP","TOTAL","49.43",""
"2010","DEB13","THS","EMP","TOTAL","54.12",""
"2010","DEB14","THS","EMP","TOTAL","72.95",""
"2010","DEB15","THS","EMP","TOTAL","39.03",""
"2010","DEB17","THS","EMP","TOTAL","92.65",""
"2010","DEB18","THS","EMP","TOTAL","81.34",""
"2010","DEB1A","THS","EMP","TOTAL","47.97",""
"2010","DEB1B","THS","EMP","TOTAL","92.65",""
"2010","DEB1C","THS","EMP","TOTAL","29.84",""
"2010","DEB1D","THS","EMP","TOTAL","50.03",""
"2010","DEB2","THS","EMP","TOTAL","252.97",""
"2010","DEB21","THS","EMP","TOTAL","78.96",""
"2010","DEB22","THS","EMP","TOTAL","55.83",""
"2010","DEB23","THS","EMP","TOTAL","41.53",""
"2010","DEB24","THS","EMP","TOTAL","29.48",""
"2010","DEB25","THS","EMP","TOTAL","47.17",""
"2010","DEB3","THS","EMP","TOTAL","942.45",""
"2010","DEB31","THS","EMP","TOTAL","22.59",""
"2010","DEB32","THS","EMP","TOTAL","69.3",""
"2010","DEB33","THS","EMP","TOTAL","28.7",""
"2010","DEB34","THS","EMP","TOTAL","113.52",""
"2010","DEB35","THS","EMP","TOTAL","146.87",""
"2010","DEB36","THS","EMP","TOTAL","27.32",""
"2010","DEB37","THS","EMP","TOTAL","27.13",""
"2010","DEB38","THS","EMP","TOTAL","34.97",""
"2010","DEB39","THS","EMP","TOTAL","40.97",""
